---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
armour,650,0,25,10,0,0,75,0,1,1000,5000
kevlarhelmet,1000,0,25,10,0,0,75,0,1,1000,5000
supp_pistol,250,-50,0,0,0,0,0,0,1,1000,5000
supp_rifle,500,-200,0,0,0,0,0,0,1,1000,5000
scope,400,0,0,0,0,0,0,0,1,1000,5000
grip_angled,300,-100,0,0,0,0,0,0,1,1000,5000
grip_vertical,300,-150,0,0,0,0,0,0,1,1000,5000
flashlight_rifle,400,-100,0,0,0,0,0,0,1,1000,5000
laser_rifle,500,-100,0,0,0,0,0,0,1,1000,5000
laser_pistol,400,-100,0,0,0,0,0,0,1,1000,5000
acog,400,-50,0,0,0,0,0,0,1,1000,5000
holo,500,-150,0,0,0,0,0,0,1,1000,5000
reddot,500,-150,0,0,0,0,0,0,1,1000,5000
painkillers,500,0,0,0,0,0,0,0,1,1000,5000
knife,100,1200,0,0,0,0,0,0,1,1000,5000
taser,500,500,5,10,0,0,0,0,1,1000,5000
newtonlauncher,1600,0,15,0,0,0,100,0,1,1000,5000
tttknife,100,0,25,10,0,0,75,0,1,1000,5000
healthstation,1000,0,25,10,0,0,75,0,1,1000,5000
monocular,500,0,25,10,0,0,75,0,1,1000,5000
teleporter,1000,0,25,10,0,0,75,0,1,1000,5000
ballisticsshield,1200,0,25,10,0,0,75,0,1,1000,5000
flaregun,600,0,1,0,0,0,1,0,1,1000,5000
dnascanner,500,0,25,10,0,0,75,0,1,1000,5000
silentcet9,650,500,13,25,50,80,50,0,1,1000,5000
detectivesmg,2200,0,10,30,10,100,25,0,1,1000,5000
tttc4,4000,0,25,10,100,0,75,0,1,1000,5000
goldengun,3500,0,100,200,100,100,100,0,1,1000,5000
grenade_dis,500,0,25,10,0,0,75,0,1,1000,5000
trenchgun,1500,600,8,15,10,25,0,0,0.67,1250,2500
tranqgun,2000,0,9,0,0,10,1,0,1,1000,5000
hunting,1600,800,25,60,100,100,100,0,1,1000,5000
